   朝倉地区（平成５年）

住居表示対照表 （旧新）

（平成５年９月１日住居表示実施）




          旧表示           ページ

 あさくらこう
 朝倉甲            ・ ・ ・    1
あさくらこう
朝倉甲                  実施日 平成５年９月１日

朝倉甲４５９番地６            朝倉南町８番５６号

朝倉甲４６６番地             朝倉南町８番３２号

朝倉甲４６６番地１            朝倉南町８番３２号

朝倉甲４６７番地７            朝倉南町８番４７号

朝倉甲４６７番地８            朝倉南町８番４４号

朝倉甲４６７番地９            朝倉南町８番４７号

朝倉甲４６７番地１０           朝倉南町８番４１号

朝倉甲４６７番地１２           朝倉南町８番３５号

朝倉甲４６７番地１３           朝倉南町７番７号

朝倉甲４６７番地１４           朝倉南町７番５号


                 3
あさくらこう
朝倉甲                  実施日 平成５年９月１日

         旧 表 示            新 表 示
朝倉甲４６７番地１５           朝倉南町７番３号

朝倉甲４６７番地１６           朝倉南町７番１号

朝倉甲４７１番地５            朝倉南町７番１３号

朝倉甲４７２番地４            朝倉南町７番１４号

朝倉甲４７５番地１            朝倉南町７番１６号

朝倉甲４７６番地             朝倉南町５番２号

朝倉甲４７６番地４            朝倉南町７番１９号

朝倉甲４７６番地４            朝倉南町７番２１号

朝倉甲４７６番地５            朝倉南町５番２号

朝倉甲４７６番地５            朝倉南町５番７号

朝倉甲４７６番地５            朝倉南町７番２２号

朝倉甲４７６番地５            朝倉南町７番２３号

朝倉甲４７６番地５            朝倉南町７番２７号

朝倉甲４７６番地７            朝倉南町７番２６号

朝倉甲４７６番地７            朝倉南町７番２７号

朝倉甲４７７番地１            朝倉南町５番１０号

朝倉甲４７９番地１            朝倉南町５番２１号

朝倉甲４７９番地１            朝倉南町５番２４号

朝倉甲４７９番地１            朝倉南町５番２６号

朝倉甲４７９番地５            朝倉南町５番２６号

朝倉甲４７９番地６            朝倉南町５番２２号

朝倉甲４８０番地４            朝倉南町６番６号

朝倉甲４８１番地５            朝倉南町６番４号

朝倉甲４８３番地４            朝倉南町６番２号

朝倉甲６１１番地１            朝倉南町６番１５号

朝倉甲６１１番地１            朝倉南町６番１７号

朝倉甲６１１番地３            朝倉南町６番１２号

朝倉甲６１１番地４            朝倉南町６番１０号

朝倉甲６１１番地６            朝倉南町６番８号

朝倉甲６２５番地             朝倉横町２４番１５号

朝倉甲６２５番地１            朝倉横町２４番１７号

朝倉甲６２５番地５            朝倉横町２４番２１号

朝倉甲６２５番地９            朝倉横町２４番２２号

朝倉甲６２７番地１            朝倉横町２４番７号

朝倉甲６２８番地             朝倉横町２４番２６号

朝倉甲６２８番地             朝倉横町２５番４号

朝倉甲６２８番地１            朝倉横町２４番２４号

朝倉甲６２８番地１            朝倉横町２４番２５号

朝倉甲６２８番地２            朝倉横町２５番２号


                 4
あさくらこう
朝倉甲                  実施日 平成５年９月１日

         旧 表 示            新 表 示
朝倉甲６２８番地２            朝倉横町２５番３号

朝倉甲６２８番地３            朝倉横町２４番２７号

朝倉甲６２８番地４            朝倉横町２５番１号

朝倉甲６２９番地２            朝倉横町２６番１５号

朝倉甲６２９番地３            朝倉横町２６番１３号

朝倉甲６２９番地５            朝倉横町２６番１５号

朝倉甲６３０番地             朝倉横町２５番５号

朝倉甲６３０番地１            朝倉横町２４番１６号

朝倉甲６３０番地８            朝倉横町２６番１９号

朝倉甲６３０番地１０           朝倉横町２６番１８号

朝倉甲６３０番地１１           朝倉横町２６番１６号

朝倉甲６３０番地１３           朝倉横町２６番２０号

朝倉甲６３０番地１３           朝倉横町２６番２２号

朝倉甲６３０番地１４           朝倉横町２６番１７号

朝倉甲６３３番地             朝倉横町２６番３５号

朝倉甲６３３番地３            朝倉横町２６番３６号

朝倉甲６３５番地１            朝倉横町２６番３号

朝倉甲６３５番地２            朝倉横町２６番２号

朝倉甲６３５番地４            朝倉横町２６番４号

朝倉甲６３５番地５            朝倉横町２６番１号

朝倉甲６４０番地２            朝倉横町２３番５１号

朝倉甲６４１番地３            朝倉横町２３番５２号

朝倉甲６５１番地             朝倉横町２１番１８号

朝倉甲６５１番地             朝倉横町２１番２８号

朝倉甲６５１番地２            朝倉横町２２番２１号

朝倉甲６５１番地３            朝倉横町２１番２９号

朝倉甲６５１番地５            朝倉横町２１番２１号

朝倉甲６５１番地６            朝倉横町２２番１９号

朝倉甲６５１番地８            朝倉横町２２番２０号

朝倉甲６５１番地９            朝倉横町２１番１９号

朝倉甲６５１番地１０           朝倉横町２１番２０号

朝倉甲６５１番地１２           朝倉横町２２番２４号

朝倉甲６５１番地１５           朝倉横町２２番２３号

朝倉甲６５１番地１６           朝倉横町２２番２２号

朝倉甲６５１番地１７           朝倉横町１６番１０－１号

朝倉甲６５１番地１８           朝倉横町１６番１３号

朝倉甲６５１番地２０           朝倉横町１６番１０－５号

朝倉甲６５１番地２２           朝倉横町１６番１４号

朝倉甲６５１番地２３           朝倉横町２１番２９号


                 5
あさくらこう
朝倉甲                  実施日 平成５年９月１日

         旧 表 示            新 表 示
朝倉甲６５１番地２５           朝倉横町２１番３０号

朝倉甲６５１番地２６           朝倉横町２１番２５号

朝倉甲６５１番地２７           朝倉横町１６番１０－２号

朝倉甲６５１番地２８           朝倉横町２１番２４号

朝倉甲６５１番地３０           朝倉横町２１番２６号

朝倉甲６５１番地３１           朝倉横町２１番２７号

朝倉甲６５１番地３３           朝倉横町１６番１０－３号

朝倉甲６５２番地２            朝倉横町２２番１２号

