  高須地区（昭和57年）

住居表示対照表 （旧新）

（昭和57年８月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 昭和57年８月１日

高須１３６４番地５         高須新町三丁目１１番３０－５号

高須１３６４番地６         高須新町三丁目１１番３０－１号

高須１３６７番地１１        島四丁目２番２３号

高須１３６９番地２         高須新町三丁目５番１号

高須１３６９番地４         高須新町三丁目２番２５号

高須１３６９番地１４        高須新町三丁目２番３０号

高須１３６９番地１５        高須新町三丁目２番２５号

高須１３６９番地１５        高須新町三丁目２番３０号

高須１３７０番地          高須新町三丁目１０番１０号

高須１３７０番地          高須新町三丁目１０番１４号

高須１３７０番地          高須新町三丁目１０番１７号

高須１３７０番地１         高須新町三丁目１０番１０号

高須１３７０番地１         高須新町三丁目１０番１２号

高須１３７０番地３         高須新町三丁目６番４号

高須１３７０番地３         高須新町三丁目６番２２号

高須１３７１番地          高須新町三丁目７番２４号

高須１３７１番地１         高須新町三丁目７番３号

高須１３７１番地１         高須新町三丁目７番５号

高須１３７１番地１         高須新町三丁目７番６号

高須１３７１番地１         高須新町三丁目７番９号

高須１３７１番地１         高須新町三丁目７番１２号

高須１３７１番地１         高須新町三丁目７番３０号

高須１３７１番地３         高須新町三丁目７番２１号

高須１３７１番地４         高須新町三丁目８番１２号

高須１３７３番地          高須新町三丁目５番１３号


              4
たかす
高須                実施日 昭和57年８月１日

      旧 表 示            新 表 示
高須１３７３番地１         高須新町三丁目５番１３号

高須１３７３番地１         高須新町三丁目５番１６号

高須１３７４番地          高須新町四丁目２番２４号

高須１３７４番地１         高須新町四丁目２番５号

高須１３７４番地１         高須新町四丁目２番２０号

高須１３７７番地          高須新町四丁目２番２０号

高須１３７７番地２         高須新町四丁目５番１２号

高須１３７７番地３         高須新町四丁目５番１２号

高須１３７７番地４         高須新町四丁目２番１２号

高須１３７７番地４         高須新町四丁目２番２０号

高須１３７７番地５         高須新町四丁目２番２０号

高須１３７７番地８         高須新町四丁目６番７号

高須１３７７番地８         高須新町四丁目７番１５号

高須１３７７番地８         高須新町四丁目７番１７号

高須１３７７番地９         高須新町四丁目７番１８号

高須１３７７番地１０        高須新町四丁目７番２１号

高須１３７７番地１３        高須新町四丁目７番８号

高須１３７７番地１４        高須新町四丁目７番６号

高須１３７７番地１６        高須新町四丁目１番１０号

高須１３７７番地１７        高須新町四丁目１番４０－２号

高須１３７７番地１７        高須新町四丁目１番４０－３号

高須１３７７番地１７        高須新町四丁目１番４０－４号

高須１３７７番地１７        高須新町四丁目５番１２号

高須１３７７番地４１４       高須新町四丁目２番１２号

高須１３７８番地１         高須新町四丁目１番１３号

高須１３７８番地１         高須新町四丁目１番４０－１号

高須１３７８番地１         高須新町四丁目４番２８号

高須１３７８番地１         高須新町四丁目８番１号

高須１３７８番地１         高須新町四丁目８番３１号

高須１３７８番地４         高須新町四丁目８番２６号

高須１３７８番地４         高須新町四丁目８番２９号

高須１３７８番地５         高須新町四丁目８番３０号

高須１３７９番地          高須新町四丁目３番１１号

高須１３７９番地          高須新町四丁目８番７号

高須１３７９番地３         高須新町四丁目４番２号

高須１３７９番地３         高須新町四丁目４番２５号

高須１３７９番地５         高須新町四丁目１番１５号

高須１３７９番地６         高須新町四丁目８番５号

高須１３７９番地９         高須新町四丁目４番２２号


              5
たかす
高須                      実施日 昭和57年８月１日

      旧 表 示                  新 表 示
高須１３７９番地１０              高須新町四丁目８番２４－１号

高須１３７９番地１０              高須新町四丁目８番２５号

高須１３７９番地１２              高須新町四丁目８番２１号

高須１３７９番地１４              高須新町四丁目８番２１号

高須１３７９番地１５              高須新町四丁目１番１８号

高須１３７９番地１５              高須新町四丁目１番３１号

高須１３７９番地１５              高須新町四丁目８番１８号

高須１３７９番地１５－１            高須新町四丁目１番１８号

高須１３７９番地１６              高須新町四丁目８番１７号

高須１３７９番地１７              高須新町四丁目４番１０号

高須１３７９番地１７              高須新町四丁目４番１３号

高須１３７９番地１７              高須新町四丁目４番１４号

高須１３７９番地１７              高須新町四丁目８番１２号

高須１３７９番地１８              高須新町四丁目８番１４号

高須１３７９番地１９              高須新町四丁目３番２０号

高須１３７９番地２４              高須新町四丁目１番３５号

高須１３７９番地２５              高須新町四丁目３番３号

高須１３７９番地２６              高須新町四丁目４番２４号

高須１３７９番地２７              高須新町四丁目８番３号

高須１３７９番地３０              高須新町四丁目８番１０号

高須１３７９番地３７              高須新町四丁目８番２４－４号

高須１３７９番地３７              高須新町四丁目８番２５号

高須１３７９番地３８              高須新町四丁目８番２４－２号

高須１３７９番地３８              高須新町四丁目８番２４－３号

高須１３７９番地３８              高須新町四丁目８番３１号

高須１３７９・１３８０合番地ヘノ１       高須新町四丁目１番３３号

高須１３７９・１３８０合番地ホノ１       高須新町四丁目１番３４号

高須１３７９・１３８０合番地ホノ１       高須新町四丁目１番３５号

