  高須地区（平成15年）

住居表示対照表 （旧新）

（平成15年３月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 平成１５年 ３月 １日

高須５０４番地３７         高須本町７番１６号

高須５０４番地３８         高須本町７番１５号

高須５０４番地３９         高須本町７番２５号

高須５０４番地４０         高須本町８番１０号

高須５０４番地４１         高須本町７番１８号

高須５０４番地４２         高須本町７番１９号

高須５０４番地４３         高須本町７番２０号

高須５０４番地４４         高須本町７番２１号

高須５０４番地５１         高須本町７番２４号


              4
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須５０４番地５６         高須本町７番２６号

高須５０５番地１          高須本町７番１０号

高須５０５番地４          高須本町７番１４号

高須５０５番地９          高須本町７番１２号

高須５０５番地１５         高須本町７番１３号

高須５０５番地１９         高須本町７番１７号

高須５０６番地           高須本町６番１１号

高須５０６番地５          高須本町６番１７号

高須５０６番地６          高須本町６番１５号

高須５０６番地１１         高須本町６番６号

高須５０６番地１３         高須本町６番９号

高須５０６番地１４         高須本町６番８号

高須５０６番地１５         高須本町６番７号

高須５０８番地           高須本町５番１５号

高須５０８番地２          高須本町５番１６号

高須５１０番地           高須本町５番５号

高須５１０番地           高須本町５番１１－１号

高須５１０番地           高須本町５番１１－２号

高須５１０番地           高須本町５番１１－３号

高須５１０番地           高須本町５番１１－４号

高須５１０番地           高須本町５番１２号

高須５１０番地           高須本町５番１３－１号

高須５１０番地           高須本町５番１３－２号

高須５１０番地           高須本町５番１４号

高須５１１番地           高須本町６番１９号

高須５１２番地           高須新木１番６号

高須５１７番地           高須新木１番２号

高須５１７番地           高須新木１番３０号

高須５１８番地           高須新木１番２９号

高須５２０番地           高須新木１番３号

高須５２１番地           高須新木１番１２号

高須５２２番地１          高須新木１番２７号

高須５２３番地１          高須新木１番２４－１号

高須５２３番地１          高須新木１番２４－２号

高須５２３番地１          高須新木１番２４－３号

高須５２３番地１          高須新木１番２５号

高須５２３番地１          高須新木１番２６－１号

高須５２３番地１          高須新木１番２６－２号

高須５２３番地１          高須新木１番２６－３号


              5
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須５２３番地１          高須新木１番２６－４号

高須５２４番地           高須新木１番２８－１号

高須５２４番地           高須新木１番２８－２号

高須５２４番地１          高須新木１番２８－１号

高須５２４番地５          高須新木１番２８－１号

高須５２５番地           高須新木２番４７号

高須５２７番地           高須新木２番６号

高須５２７番地           高須新木２番７号

高須５２８番地           高須新木２番５号

高須５３０番地２          高須新木２番４６号

高須５３３番地           高須新木２番４５号

高須５３４番地５          高須新木２番４１－６号

高須５３４番地７          高須新木２番４１－８号

高須５３４番地８          高須新木２番４１－９号

高須５３４番地９          高須新木２番４１－１０号

高須５３７番地１          高須新木２番４１－２号

高須５３７番地１          高須新木２番４１－３号

高須５３７番地２          高須新木２番４０号

高須５３８番地１          高須新木２番４１－５号

高須５４０番地           高須新木２番１８号

高須５４０番地           高須新木２番１９号

高須５４２番地１          高須新木２番３８号

高須５４４番地           高須新木２番３６号

高須５４５番地           高須新木２番３５号

高須５４６番地１          高須新木２番３４号

高須５５０番地           高須新木２番３３号

高須５５１番地           高須新木２番２７号

高須５５１番地           高須新木３番５号

高須５５３番地           高須新木３番４６号

高須５５４番地           高須新木２番４１－１２号

高須５５４番地           高須新木２番４３号

高須５５５番地           高須新木３番３号

高須５５６番地           高須新木３番１０号

高須５５７番地１          高須新木３番４５号

高須５６２番地           高須新木３番４３－１号

高須５６２番地           高須新木３番４３－２号

高須５６２番地           高須新木３番４３－３号

高須５６２番地           高須新木３番４４号

高須５６２番地１          高須新木３番４０号


              6
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須５６２番地２          高須新木３番３９号

高須５６３番地           高須新木３番４１号

高須５６５番地１          高須新木３番３８号

高須５６７番地           高須新木３番３６号

高須５６７番地           高須新木３番３７号

高須５６８番地２          高須新木３番１５号

高須５６９番地           高須新木３番１８号

高須５６９番地           高須新木３番３４号

高須５６９番地２          高須新木３番１９号

高須５７０番地           高須新木３番３３号

高須５７０番地１          高須新木３番３５号

高須５７４番地           高須新木３番３２号

高須５７６番地           高須新木３番２２号

高須５７６番地           高須新木３番３０号

高須５７７番地           高須新木３番３１号

高須５７７番地１          高須新木３番３０号

高須５７９番地２          高須新木３番２７号

高須５８０番地１          高須新木３番２３号

高須５８０番地２          高須新木３番２５号

高須５８２番地           高須新木４番５号

高須５８３番地           高須新木４番１号

高須５８３番地           高須新木４番３号

高須５８３番地           高須新木４番１９号

高須５８３番地１          高須新木４番３号

高須５８５番地           高須新木４番１７号

高須５９１番地           高須新木５番３９号

高須５９１番地１          高須新木５番３９号

高須５９１番地１          高須新木５番４０号

高須５９１番地５          高須新木５番３９号

高須５９４番地           高須新木５番３８号

高須５９８番地           高須新木５番３６号

高須６０２番地           高須新木５番３４号

高須６０２番地           高須新木５番３５号

高須６０３番地１          高須新木５番１４号

高須６０３番地２          高須新木５番１５号

高須６０４番地           高須新木５番３３号

高須６０５番地           高須新木５番３０号

高須６０５番地           高須新木５番３１号

高須６０５番地１          高須新木５番３７号


              7
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須６０６番地           高須新木５番２９号

高須６０７番地           高須新木５番３２号

高須６０８番地           高須新木５番２６号

高須６０８番地           高須新木５番２７号

高須６０８番地           高須新木５番２８号

高須６１５番地１          高須新木５番２２号

高須６１６番地           高須新木５番２１号

高須６１６番地           高須新木５番２５号

高須６１８番地           高須新木６番４９号

高須６２１番地１          高須新木６番４８－１号

高須６２１番地３          高須新木６番４８－３号

高須６２２番地           高須新木６番７号

高須６２２番地           高須新木６番８号

高須６２４番地２          高須新木６番４７－４号

高須６２５番地２          高須新木６番４７－１号

