   朝倉地区（平成３年）

住居表示対照表 （旧新）

（平成３年５月１日住居表示実施）




         旧表示           ページ

 あさくらぼ
 朝倉戊           ・ ・ ・    1
 あさくらき
 朝倉己           ・ ・ ・    6
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

                3
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊１０９０番地１          針木東町７番３－４０６号

朝倉戊１０９０番地１          針木東町７番３－４０７号

朝倉戊１０９０番地１          針木東町７番３－４０８号

朝倉戊１０９０番地１          針木東町７番７－１１号

朝倉戊１０９０番地１          針木東町７番７－１２号

朝倉戊１０９０番地１          針木東町７番７－１３号

朝倉戊１０９０番地１          針木東町７番７－１４号

朝倉戊１０９０番地１          針木東町７番７－２１号

朝倉戊１０９０番地１          針木東町７番７－２２号

朝倉戊１０９０番地１          針木東町７番７－２３号

朝倉戊１０９０番地１          針木東町７番７－２４号

朝倉戊１０９０番地１          針木東町７番７－３２号

朝倉戊１０９３番地４          針木東町１５番１６号

朝倉戊１０９３番地７          針木東町１４番５号

朝倉戊１０９４番地７          針木東町５番７号

朝倉戊１０９４番地８          針木東町６番２２号

朝倉戊１０９４番地９          針木東町６番１９号

朝倉戊１０９４番地１０         針木東町６番１８号

朝倉戊１０９４番地１１         針木東町６番１７号

朝倉戊１０９４番地１２         針木東町５番１２号

朝倉戊１０９４番地１４         針木東町６番１６号

朝倉戊１０９４番地１５         針木東町６番１５号

朝倉戊１０９４番地１６         針木東町６番１４号

朝倉戊１０９４番地１７         針木東町６番１２号

朝倉戊１０９４番地１８         針木東町６番１１号

朝倉戊１０９４番地１９         針木東町６番１０号

朝倉戊１０９４番地２１         針木東町６番７号

朝倉戊１０９４番地２２         針木東町６番６号

朝倉戊１０９４番地２３         針木東町６番５号

朝倉戊１０９４番地２４         針木東町２番１３号

朝倉戊１０９４番地２５         針木東町２番４号

朝倉戊１０９４番地２７         針木東町２番８号

朝倉戊１０９４番地３０         針木東町１４番２０号

朝倉戊１０９４番地３５         針木東町１４番１６号

朝倉戊１０９４番地３６         針木東町１４番１９号

朝倉戊１０９４番地３７         針木東町１３番１号

朝倉戊１０９４番地３８         針木東町１３番２号

朝倉戊１０９４番地３９         針木東町１３番４号

朝倉戊１０９４番地４１         針木東町１３番１９号


                4
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊１０９４番地４２         針木東町１３番１８号

朝倉戊１０９４番地４３         針木東町１３番１７号

朝倉戊１０９４番地４５         針木東町１２番２２号

朝倉戊１０９４番地４６         針木東町１２番３号

朝倉戊１０９４番地４８         針木東町１２番１６号

朝倉戊１０９４番地５０         針木東町１２番１８号

朝倉戊１０９４番地５１         針木東町１２番１９号

