        仁井田地区

住居表示対照表 （旧新）

（平成８年２月１日住居表示実施）




       旧表示           ページ

 にいだ
 仁井田         ・ ・ ・    1
にいだ
仁井田               実施日 平成８年２月１日

仁井田２３７１番地７        十津三丁目７番３４－７号

仁井田２３７１番地８        十津三丁目７番３４－６号

仁井田２３７１番地９        十津三丁目７番３４－５号

仁井田２３７１番地１０       十津三丁目７番３４－４号

仁井田２３７２番地         十津三丁目７番３２号

仁井田２３７３番地１        十津三丁目７番２５号

仁井田２３７３番地１１       十津三丁目７番２７－１５号

仁井田２３７３番地１４       十津三丁目７番２７－１号

仁井田２３７３番地１５       十津三丁目７番２７－２号

仁井田２３７３番地１６       十津三丁目７番２７－５号

仁井田２３７３番地１７       十津三丁目７番２７－７号

仁井田２３７３番地１８       十津三丁目７番２７－８号

仁井田２３７３番地１９       十津三丁目７番２７－１３号

仁井田２３７３番地２０       十津三丁目７番２７－１１号

仁井田２３７３番地２４       十津三丁目７番２７－１４号

仁井田２３７３番地２５       十津三丁目７番２７－１０号

仁井田２３７３番地２６       十津三丁目７番２７－３号

仁井田２３７３番地２７       十津三丁目７番２７－４号

仁井田２３７３番地２８       十津三丁目７番２７－９号

仁井田２３８１番地５        十津三丁目７番２９号

仁井田２３８１番地６        十津三丁目７番３０号

仁井田２３８１番地８        十津三丁目７番２７－１７号

仁井田２３８１番地１０       十津三丁目７番２７－１６号

仁井田２３８２番地５        十津四丁目１番３１号

仁井田２３８２番地６        十津四丁目１番３０号

仁井田２３８２番地８        十津四丁目１番２８号

仁井田２３８３番地１        十津三丁目１８番１２号

仁井田２３８３番地１３       十津三丁目１８番１６号

仁井田２３８３番地１４       十津三丁目１８番１５号

仁井田２３８３番地１５       十津三丁目１８番１７号

仁井田２３８３番地１６       十津三丁目１８番１８－１号

仁井田２３８３番地１７       十津三丁目１８番１８－２号

仁井田２３８３番地１８       十津三丁目１８番１９号

仁井田２３８３番地１９       十津三丁目１８番２０－１号

仁井田２３８３番地２０       十津三丁目１８番２０－２号

仁井田２３８３番地２２       十津三丁目１８番１０号

仁井田２３８３番地２３       十津三丁目１８番１１号

仁井田２３８４番地１        十津四丁目６番１７号

仁井田２３８４番地３        十津四丁目６番１６号


              4
にいだ
仁井田               実施日 平成８年２月１日

      旧 表 示            新 表 示
仁井田２３８４番地４        十津四丁目６番１５号

仁井田２３８６番地２        十津三丁目１８番７号

仁井田２３８６番地７        十津三丁目１８番１号

仁井田２３８６番地８        十津三丁目１８番３号

仁井田２３８６番地９        十津三丁目１８番４号

仁井田２３８６番地１０       十津三丁目１８番５号

仁井田２３８６番地１１       十津三丁目１８番６号

仁井田２３８６番地１２       十津三丁目２０番２０号

仁井田２３８６番地１３       十津三丁目２０番２２号

仁井田２３８６番地１４       十津三丁目２０番２３号

仁井田２３８６番地１５       十津三丁目２０番２４号

仁井田２３８６番地１６       十津三丁目２０番２５号

仁井田２３８６番地１８       十津三丁目２０番２６号

仁井田２３８６番地１９       十津三丁目２０番２７号

仁井田２３８６番地２０       十津三丁目２０番２０号

仁井田２３８６番地２１       十津三丁目２０番２１号

仁井田２３８６番地２２       十津三丁目２０番１７号

仁井田２３８６番地２３       十津三丁目２０番１６号

仁井田２３８６番地２４       十津三丁目２０番１２号

仁井田２３８６番地２５       十津三丁目２０番１１号

仁井田２３８６番地２７       十津三丁目２０番１０号

仁井田２３８６番地２８       十津三丁目２０番１５号

仁井田２３８６番地２９       十津三丁目２０番１４号

仁井田２３８６番地３０       十津三丁目２０番１３号

仁井田２３８６番地３１       十津三丁目２０番１８号

仁井田２３９７番地３        十津三丁目２１番５号

仁井田２３９７番地４        十津三丁目２１番２号

仁井田２３９７番地５        十津三丁目２１番１号

仁井田２３９７番地７        十津三丁目２０番３１号

仁井田２３９７番地９        十津三丁目２０番２９号

仁井田２３９７番地１０       十津三丁目２０番２８号

仁井田２３９７番地１２       十津三丁目２１番４号

仁井田２３９７番地１３       十津三丁目２１番３号

仁井田２３９７番地１４       十津三丁目２０番３０号

仁井田２３９７番地１５       十津三丁目２０番６号

仁井田２３９７番地１６       十津三丁目２０番９号

仁井田２３９７番地１７       十津三丁目２０番８号

仁井田２３９７番地１８       十津三丁目２０番７号

仁井田２４００番地         十津二丁目１３番１８号


              5
にいだ
仁井田               実施日 平成８年２月１日

      旧 表 示            新 表 示
仁井田２４００番地         十津二丁目１３番１９号

仁井田２４００番地         十津二丁目１３番２０－１号

仁井田２４００番地         十津二丁目１３番２０－２号

仁井田２４００番地         十津二丁目１３番２０－３号

仁井田２４００番地３        十津四丁目１９番１１号

仁井田２４００番地７        十津四丁目１９番８号

仁井田２４００番地８        十津四丁目１９番７号

仁井田２４００番地１０       十津四丁目１９番１３号

仁井田２４００番地１１       十津四丁目１９番１０号

仁井田２４００番地１４       十津四丁目１８番１号

仁井田２４００番地１５       十津四丁目１８番２号

仁井田２４００番地１８       十津四丁目１８番３号

仁井田２４００番地１９       十津四丁目１９番６号

仁井田２４０１番地２        十津二丁目１２番１号

仁井田２４０１番地２        十津二丁目１２番２号

仁井田２４０５番地         十津二丁目９番１０号

仁井田２４０５番地         十津二丁目９番１１号

仁井田２４０５番地         十津二丁目９番２４号

仁井田２４０５番地         十津二丁目９番２５号

仁井田２４０５番地２        十津二丁目８番１５号

仁井田２４０５番地５        十津二丁目９番１８号

仁井田２４０５番地８        十津二丁目９番１２号

仁井田２４０５番地９        十津二丁目９番２３号

仁井田２４０５番地１９       十津二丁目１１番２０号

仁井田２４０５番地２２       十津二丁目１１番１４号

仁井田２４０５番地２４       十津二丁目１１番１１号

仁井田２４０５番地２６       十津二丁目９番１７号

仁井田２４０５番地２７       十津二丁目９番１３号

仁井田２４０５番地２８       十津二丁目１１番１５号

仁井田２４０５番地２９       十津二丁目１１番１３号

仁井田２４０５番地３０       十津二丁目１０番２１号

仁井田２４０５番地３１       十津二丁目１０番１９号

仁井田２４０５番地３２       十津二丁目１０番１８号

仁井田２４０５番地３３       十津二丁目１０番１５号

仁井田２４０５番地３４       十津二丁目９番２２号

仁井田２４０５番地３６       十津二丁目８番１７号

仁井田２４０５番地３７       十津二丁目８番１８号

仁井田２４１２番地１        十津二丁目１番４１号

仁井田２４１３番地１        十津二丁目１番３４号


              6
にいだ
仁井田               実施日 平成８年２月１日

      旧 表 示            新 表 示
仁井田２４１３番地１        十津二丁目１番３９号

仁井田２４１５番地         十津二丁目２番１４号

仁井田２４１５番地２        十津二丁目２番１４号

仁井田２４１６番地         十津二丁目１番３２号

仁井田２４１６番地２        十津二丁目１番３４号

仁井田２４１６番地２        十津二丁目１番３６号

仁井田２４１６番地４        十津二丁目２番１号

仁井田２４２５番地３        十津一丁目３番４５号

仁井田２４２８番地２        十津一丁目３番４５号

仁井田２４３１番地１        十津一丁目３番５１－１号

仁井田２４３３番地５        十津二丁目１番２５号

仁井田２４３３番地７        十津二丁目１番２６号

仁井田２４３４番地９        十津一丁目３番５１－５号

仁井田２４３４番地１０       十津一丁目３番５１－４号

仁井田２４３４番地１１       十津一丁目３番５１－３号

仁井田２４３４番地１２       十津一丁目３番５１－２号

仁井田２４３６番地１３       十津一丁目１番８３号

仁井田２４４３番地１        十津二丁目１番１５号

仁井田２４４３番地６        十津一丁目２番１２号

仁井田２４４３番地８        十津一丁目２番１０号

仁井田２４４３番地９        十津一丁目２番９号

仁井田２４４３番地１０       十津一丁目２番７号

仁井田２４４５番地         十津一丁目１番３７号

仁井田２４４５番地６        十津一丁目１番４１号

仁井田２４４５番地７        十津一丁目２番１号

仁井田２４４５番地８        十津一丁目１番４０号

仁井田２４４５番地９        十津一丁目２番３号

仁井田２４４５番地１１       十津一丁目２番４号

仁井田２４４５番地１３       十津一丁目２番５号

仁井田２４４７番地         十津一丁目１番２７号

仁井田２４４７番地２        十津一丁目１番３３－１号

仁井田２４４７番地４        十津一丁目１番２６号

仁井田２４４７番地６        十津一丁目１番２９号

仁井田２４４７番地７        十津一丁目１番３３－２号

仁井田２４４７番地８        十津一丁目１番３４号

仁井田２４４７番地９        十津一丁目１番３５号

仁井田２４４７番地１０       十津一丁目１番３１号

仁井田２４４７番地１１       十津一丁目１番３６号

仁井田２４４７番地１２       十津一丁目１番２８号


              7
にいだ
仁井田               実施日 平成８年２月１日

      旧 表 示            新 表 示
仁井田２４４８番地         十津一丁目１番４５号

仁井田２４４８番地４        十津一丁目１番４４号

仁井田２４４８番地５        十津一丁目１番５３号

仁井田２４４８番地６        十津一丁目１番５２号

仁井田２４４８番地７        十津一丁目１番５５号

仁井田２４４８番地１０       十津一丁目１番５１号

仁井田２４４８番地１１       十津一丁目１番４６号

仁井田２４４８番地１２       十津一丁目１番５０号

仁井田２４４８番地１３       十津一丁目１番４９号

仁井田２４４８番地１４       十津一丁目１番４８－２号

仁井田２４４８番地１５       十津一丁目１番４８－１号

仁井田２４４８番地１６       十津一丁目１番４７号

仁井田２４５３番地         十津一丁目１番６３号

仁井田２４５３番地１        十津一丁目１番６３号

仁井田２４５３番地５        十津一丁目１番９５号

仁井田２４５３番地８        十津一丁目１番５６号

仁井田２４５３番地１０       十津一丁目１番６９号

仁井田２４５３番地１４       十津一丁目１番９３号

仁井田２４６１番地４        十津一丁目１番８７号

