   朝倉地区（平成４年）

住居表示対照表 （旧新）

（平成４年９月１日住居表示実施）




         旧表示           ページ

 あさくらぼ
 朝倉戊           ・ ・ ・    1
 あさくらき
 朝倉己           ・ ・ ・    6
あさくらぼ
朝倉戊                 実施日 平成４年９月１日

        旧 表 示            新 表 示
朝倉戊９９２番地１６          大谷公園町２番１４号

朝倉戊９９２番地１９          大谷公園町４番１６号

朝倉戊９９２番地２０          大谷公園町４番１０号

朝倉戊９９２番地２２          大谷公園町１番２１号

朝倉戊９９２番地２３          大谷公園町１番２０号

朝倉戊９９２番地２４          大谷公園町１番１９号

朝倉戊９９２番地５７          大谷公園町１番１８号


                3
あさくらぼ
朝倉戊                 実施日 平成４年９月１日

        旧 表 示            新 表 示
朝倉戊９９２番地５８          大谷公園町１番１７号

朝倉戊９９５番地５           大谷公園町１番２４号

朝倉戊９９５番地６           大谷公園町１番２２号

朝倉戊９９５番地１１          大谷公園町２番２２号

朝倉戊９９５番地１２          大谷公園町２番２０号

朝倉戊９９５番地１３          大谷公園町２番１７号

朝倉戊９９９番地１           大谷公園町１番１３号

朝倉戊１０１３番地１          大谷公園町２１番６号

朝倉戊１０１６番地           大谷公園町１番３４号

朝倉戊１０１６番地           大谷公園町１番３５号

朝倉戊１０１６番地           大谷公園町１番３６号

朝倉戊１０１６番地           大谷公園町１番３７号

朝倉戊１０１６番地１６         大谷公園町１番３４号

朝倉戊１０３６番地１          大谷公園町１６番８５号

朝倉戊１２２０番地           大谷公園町２０番１５号

朝倉戊１２２１番地           大谷公園町２０番１号

朝倉戊１２２１番地           大谷公園町２０番１５号

朝倉戊１２２１番地１          大谷公園町２０番１号

朝倉戊１２２１番地１          大谷公園町２０番１５号

朝倉戊１２２２番地           大谷公園町２０番１号

朝倉戊１２２２番地           大谷公園町２０番１５号

朝倉戊１２２６番地１          大谷公園町１７番６号

朝倉戊１２２６番地１３         大谷公園町１７番４６号

朝倉戊１２３０番地３          大谷公園町１７番２８号

朝倉戊１２３０番地６          大谷公園町１７番３７号

朝倉戊１２３０番地７          大谷公園町１７番３６号

朝倉戊１２３０番地８          大谷公園町１７番３５号

